,Blue Topaz
0,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96833-1-220922.jpg
1,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96833-2-220922.jpg
2,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96833-3-220922.jpg
3,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp81675-1-131223.jpg
4,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp81675-2-270521.jpg
5,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp81675-3-270521.jpg
6,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp84741-1-230721.jpg
7,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp84741-2-230721.jpg
8,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp84741-3-230721.jpg
9,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp103361-1-170922.jpg
10,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp103361-2-170922.jpg
11,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp103361-3-170922.jpg
12,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp81684-1-040621.jpg
13,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp81684-2-040621.jpg
14,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp81684-3-040621.jpg
15,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp81734-1-270521.jpg
16,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp81734-2-270521.jpg
17,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp81734-3-270521.jpg
18,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp81678-1-131223.jpg
19,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp81678-2-040621.jpg
20,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp120762-1-190623.jpg
21,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp120762-2-190623.jpg
22,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp120762-3-190623.jpg
