,Burmese Ruby
0,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp108639-1-031222.jpg
1,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp108639-2-031222.jpg
2,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp108639-3-031222.jpg
3,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-1-190405_1.jpg
4,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-2-190405_1.jpg
5,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp107817-1-171222.jpg
6,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp107817-2-171222.jpg
7,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp107817-3-171222.jpg
8,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96973-1-281022.jpg
9,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96973-2-281022.jpg
10,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96973-3-281022.jpg
11,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-CLARITY-OLDBURMA-1-190405_1.jpg
12,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-CLARITY-OLDBURMA-1-190405_1.jpg
13,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp62769-1-130521.jpg
14,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp62769-2-130521.jpg
15,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp62769-3-130521.jpg
16,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp127812-1-280823.jpg
17,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp127812-2-280823.jpg
18,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp127812-3-280823.jpg
19,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp47434-1-130521.jpg
20,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp47434-2-130521.jpg
21,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp47434-3-130521.jpg
22,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp126923-1-220823.jpg
23,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp126923-2-220823.jpg
24,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp126923-3-220823.jpg
25,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp124217-1-200723.jpg
26,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp124217-2-200723.jpg
27,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp124217-3-200723.jpg
28,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp124234-1-200723.jpg
29,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp124234-2-200723.jpg
30,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp124234-3-200723.jpg
31,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132328-1-11123.jpg
32,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132328-2-11123.jpg
33,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132328-3-11123.jpg
34,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-COLOUR-CLARITY-OLDBURMA-1-190405_1.jpg
35,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132655-1-71223.jpg
36,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132655-2-71223.jpg
37,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132655-3-71223.jpg
38,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-COLOUR-CLARITY-OLDBURMA-1-190405_1.jpg
39,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp77135-1-210622.jpg
40,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp77135-2-210622.jpg
41,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp77135-3-210622.jpg
42,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp124231-1-291223.jpg
43,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp124231-2-200723.jpg
44,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp124231-3-200723.jpg
45,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-COLOUR-CLARITY-OLDBURMA-1-190405_1.jpg
46,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-COLOUR-CLARITY-OLDBURMA-1-190405_1.jpg
47,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp72166-1-130521.jpg
48,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp72166-2-130521.jpg
49,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp72166-3-130521.jpg
50,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp124240-1-291223.jpg
51,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp124240-2-200723.jpg
52,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp124240-3-200723.jpg
53,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp129128-1-140923.jpg
54,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp129128-2-140923.jpg
55,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp129128-3-140923.jpg
56,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp128124-1-221123.jpg
57,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp128124-2-290823.jpg
58,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp128124-3-290823.jpg
59,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp113830-1-30423.jpg
60,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp113830-2-30423.jpg
61,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp85344-1-200821.jpg
62,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp85344-2-200821.jpg
63,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp85344-3-200821.jpg
64,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp129350-1-201123.jpg
65,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp129350-2-200923.jpg
66,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp129350-3-200923.jpg
67,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-COLOUR-OLDBURMA-1-190405_1.jpg
68,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp128121-1-221123.jpg
69,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp128121-2-290823.jpg
70,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp128121-3-290823.jpg
71,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-CLARITY-OLDBURMA-1-190405_1.jpg
72,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp113714-1-211123.jpg
73,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp113714-2-300323.jpg
74,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp113714-3-300323.jpg
75,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp127927-1-201123.jpg
76,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp127927-2-280823.jpg
77,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp127927-3-280823.jpg
78,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132654-1-71223.jpg
79,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132654-2-71223.jpg
80,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132654-3-71223.jpg
81,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp104504-1-300922.jpg
82,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp104504-2-300922.jpg
83,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp104504-3-300922.jpg
84,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132290-1-11123.jpg
85,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132290-2-11123.jpg
86,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132290-3-11123.jpg
87,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp62435-1-130521.jpg
88,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp62435-2-130521.jpg
