,Padparadscha Sapphire
0,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp112296-1-210223.jpg
1,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp112296-2-210223.jpg
2,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp112296-3-210223.jpg
3,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp111896-1-160323.jpg
4,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp111896-2-160323.jpg
5,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp111896-3-160323.jpg
6,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132725-1-81223.jpg
7,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132725-2-81223.jpg
8,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132725-3-81223.jpg
9,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132722-1-81223.jpg
10,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132722-2-81223.jpg
11,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132722-3-81223.jpg
12,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132716-1-81223.jpg
13,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132716-2-81223.jpg
14,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132716-3-81223.jpg
15,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132719-1-81223.jpg
16,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132719-2-81223.jpg
17,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132719-3-81223.jpg
18,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132723-1-81223.jpg
19,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132723-2-81223.jpg
20,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132723-3-81223.jpg
