,Paraiba Tourmaline
0,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp98511-1-300422.jpg
1,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp98511-2-300422.jpg
2,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp98511-3-300422.jpg
3,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106381-1-271223.jpg
4,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106381-2-171222.jpg
5,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106381-3-171222.jpg
6,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106358-1-171222.jpg
7,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106358-2-171222.jpg
8,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106358-3-171222.jpg
9,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp105996-1-101122.jpg
10,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp105996-2-101122.jpg
11,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp105996-3-101122.jpg
12,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106374-1-171222.jpg
13,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106374-2-171222.jpg
14,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106374-3-171222.jpg
15,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106355-1-171222.jpg
16,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106355-2-171222.jpg
17,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106355-3-171222.jpg
