,Pigeon Blood Ruby
0,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp131093-1-201123.jpg
1,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp131093-2-251023.jpg
2,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp128508-1-60923.jpg
3,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp128508-2-60923.jpg
4,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp128508-3-60923.jpg
5,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132896-1-121223.jpg
6,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132896-2-121223.jpg
7,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132896-3-121223.jpg
8,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96000-1-201123.jpg
9,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96000-2-300322.jpg
10,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96000-3-300322.jpg
11,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp134072-1-40124.jpg
12,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp134072-2-40124.jpg
13,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp134072-3-40124.jpg
14,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132895-1-121223.jpg
15,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132895-2-121223.jpg
16,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132895-3-121223.jpg
17,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp72942-1-201123.jpg
18,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp72942-2-150721.jpg
