,Royal Blue Sapphire
0,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp131518-1-101123.jpg
1,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp131518-2-71123.jpg
2,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp72124-1-41223_1.jpg
3,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp72124-2-260221.jpg
4,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp72124-1-41223.jpg
5,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp131519-1-11223.jpg
6,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp131519-2-11223.jpg
7,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp131519-3-11223.jpg
8,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp55658-1-51223.jpg
9,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp55658-2-080521.jpg
10,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp55658-3-080521.jpg
11,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp72120-1-51223.jpg
12,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp72120-2-260221.jpg
13,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp47375-1-080521.jpg
14,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp47375-2-080521.jpg
15,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp47375-3-080521.jpg
16,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132060-1-231123.jpg
17,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132060-2-231123.jpg
