,Ruby (Manik)
0,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-1_1_1.jpg
1,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-2_1_1.jpg
2,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-8_1_1.jpg
3,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-7_1_1.jpg
4,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-4_1_1.jpg
5,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-3_1_1.jpg
6,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-5_1_1.jpg
7,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-6_1_1.jpg
8,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-COLOUR-CLARITY-OLDBURMA-1-190405_1.jpg
9,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-1_1.jpg
10,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-2_1.jpg
11,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-3_1.jpg
12,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-6_1.jpg
13,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-5_1.jpg
14,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-4_1.jpg
15,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-1-190405_1.jpg
16,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-2-190405_1.jpg
17,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-3-190405_1.jpg
18,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-4-190405_1.jpg
19,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-5-190405_1.jpg
20,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-6-190405_1.jpg
21,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-7-190405_1.jpg
22,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-8-190405_1.jpg
23,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-1-190405_1.jpg
24,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-2-190405_1.jpg
