,Tanzanite
0,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp118146-1-240523.jpg
1,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp118146-2-240523.jpg
2,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp118146-3-240523.jpg
3,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp133775-1-281223.jpg
4,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp133775-2-281223.jpg
5,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp133775-3-281223.jpg
6,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp123516-1-60723.jpg
7,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp123516-2-60723.jpg
8,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp123516-3-60723.jpg
9,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp133952-1-30124.jpg
10,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp133952-2-30124.jpg
11,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp133952-3-30124.jpg
12,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp110291-1-180123.jpg
13,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp110291-2-180123.jpg
14,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp110291-3-180123.jpg
15,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp133921-1-30124.jpg
16,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp133921-2-30124.jpg
17,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp133921-3-30124.jpg
18,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp129211-1-180923.jpg
19,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp129211-2-180923.jpg
20,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp129211-3-180923.jpg
21,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp88825-1-101021_1.jpg
22,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp88825-2-101021.jpg
