,Ceylon Blue Sapphire
0,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-sterling-silver-ring-design-r1
1,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-panchdhatu-ring-design-r1
2,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gold-ring-design-r1
3,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-sterling-silver-ring-design-r1-sparkle
4,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-panchdhatu-ring-design-r1-sparkle
5,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gold-ring-design-r1-sparkle
6,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-sterling-silver-ring-design-r1-dazzle
7,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-panchdhatu-ring-design-r1-dazzle
8,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gold-ring-design-r1-dazzle
9,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-sterling-silver-ring-design-a1
10,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-panchdhatu-ring-design-a1
11,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gold-ring-design-a1
12,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-sterling-silver-ring-design-a2
13,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-panchdhatu-ring-design-a2
14,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gold-ring-design-a2
15,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-sterling-silver-ring-design-a2-sparkle
16,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp111887
17,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp134429
18,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109416
19,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-sterling-silver-ring-design-a4
20,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109071
21,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-panchdhatu-ring-design-a4
