,Vivid Green Emerald
0,https://www.gempundit.com/gemstones/vivid-green-emerald/emerald-gp94703
1,https://www.gempundit.com/gemstones/vivid-green-emerald/emerald-gp104900
2,https://www.gempundit.com/gemstones/vivid-green-emerald/emerald-gp104904
3,https://www.gempundit.com/gemstones/vivid-green-emerald/emerald-gp104901
4,https://www.gempundit.com/gemstones/vivid-green-emerald/emerald-gp104903
5,https://www.gempundit.com/gemstones/vivid-green-emerald/emerald-gp104898
6,https://www.gempundit.com/gemstones/vivid-green-emerald/emerald-gp66600
7,https://www.gempundit.com/gemstones/vivid-green-emerald/emerald-gp66599
8,https://www.gempundit.com/gemstones/vivid-green-emerald/emerald-gp104902
9,https://www.gempundit.com/gemstones/vivid-green-emerald/emerald-gp108609
10,https://www.gempundit.com/gemstones/vivid-green-emerald/emerald-gp1238740
11,https://www.gempundit.com/gemstones/vivid-green-emerald/emerald-gp1238779
